161.5,165,89.5,92,162,173
88,134.5,86,83,166,169.5
169.5,166,88,85,168,167
163,168.5,92,87,165,168
113,167,91,92,162,167.5
124.5,167,89,92,160,169
166,165,87,83,168,167
79,132,84,87,166,157
165,166,91,90,164,169.5
97,100,84,88,73,73
82,134,86,98,89,78
87,101,84.5,98,73,72.5
89,100,89.5,83,71.5,74
77,133,91,87,165.5,168
162.5,165.5,88,98,165.5,166.5
92.5,100,87,82.5,72,72
164,165,83,98,168,167
97,100,88,98,73.5,72
87,100,86,98,71.5,72.5
95,100,85,86,72,72
90,100,83.5,86,71,74
128,160,89,98,91,120
125,159,89,98,90,121
95,100,88,98,72,71
96,100,89,92,73,72
91,100,84,86,73,73
117,167,85,89,161,168.5
131,158,91,92,90,119
79,132,84,87,75.5,77
113,167,85,88,162,166.5
80.5,130,86,98,92,80
87,132,87.5,98,82.5,79
87,100,84,88,72,71
91,100,91,92,72.5,73
85.5,132,91,86,75,77
164,165,92,92,161,170.5
87.5,130.5,84.5,87,166,165.5
107,167,88,98,161,168.5
87,132,89,92,79,75
96,100,84,98,74,71
163.5,163,83,83,162,173
89,100,96,83,71.5,73
90.5,134,86,98,167,166
81,126,89,92,167.5,161
90,100,84.5,98,70,73
116,167,91,89,159,169
89,100,84,86.5,72,73
165,167.5,84,87.5,164.5,168
129,159,86,98,90,103
89,133,94,83,83,72
87,101,84,88,75,74
80,132,85,98,166,164.5
82,132,87,83,90,78
97,100,87,83,72,72
81,134,84,87,168,170.5
81,133,89,83,167,166
73,130,85,98,88,74
87.5,133,89,83,165.5,170
90,100,95.5,83,72,74
169,168,89,98,168,169
82,127,84,86,168,159
96,100,86,98,73,72
80,130,90,84,92,79.5
96,100,87,83,73,72
161.5,166,85,86,167,168.5
81,133,86,98,166,165.5
129,159,88,98,90,117
95,100,90,92,74,72
92,100,87,84,72,71
164,162,83,98,162,172
168,166,89,84.5,168,167
87,100,83,86,71.5,72
170,166,85,86,168,168
124.5,158,90,90,91,120
130,159,94,89,90,117
165,165,89,84,164,173
123,168,90,92,166,167.5
161,165,84.5,98,167,168
115,167,89,83,161.5,166
89,100,86,98,72,74
167.5,168,91,90,167.5,169.5
95,100,91,92,71,73
165,165,87,82,164,172
111,167,91,90,161.5,168.5
164,165,83.5,86,169,167
165,165,86,98,165,173
125,158.5,85,88,91,120
90,100,93,83,71,74
83,129,91,84,95,75
85,134,84,83,167,165.5
161,165.5,86,98,167.5,168
81,130,84,88,166,158
90,100,84,87,71,73
84.5,132,95,83,74,77
87,131,91,85,78,71
82,128.5,86,83,167,159
161,164.5,84,87,167.5,167
81,134,91,86,168,168.5
82,131,90,90,94.5,76.5
86.5,132,90,86,166,165
165,165,87,83,165,173
88,130,94,90,165.5,168
83,133,86,98,166.5,165
123,166.5,91,84,161.5,166
90,100,92,87,72,73
163,170,86,98,167,169
163.5,168,84,87,164.5,168
123,165.5,89,98,72,73
90,100,90,90,71,74
122,156,85.5,96,92.5,118
95,100,86,98,72,72
165,165,85,98,164,173
86.5,99,95,90,68,74
89,99,91,92,80,72
89,100,92,83,72,74
123,165,91,84,157,169
164,165,84,88,161,172
84,135,96.5,83,167,167.5
165,168,88,98,166,169
83,129,92,90,95,76
80,129,87,98,166,163
91,100,86,98,73,73
123,165,86,98,162,167
90,100,90.5,92,71,72.5
90,100,84,89,70,73
89,99,85,89,76,73
161,166,91,84,162,173
81.5,132,85,88,75,77.5
78,132,84,98,73,76.5
161,166,88,98,168,168
82,132,84,87,89,76
89,100,95.5,83,71,74
97,100,86,98,74,72
77,129,84,87,88,73
80,131,88,98,166,164
87,100,90.5,92,72,75
89,133,83.5,98,83,74
91.5,100,83,98,72,72
161,166,86,98,162,173
88,100,86,98,72,72
87,100,88,98,71.5,73
87,101,97,90,75,74
87,100,87,98,71,73.5
92,100,87,98,72,72
123,165,84,87,157,169
92,100,87,98,72.5,73
92,100,90,90,72.5,73
81,132,90,83,90,78
92,100,87,98,72,74
165,164.5,84,98,165,173
162.5,169.5,84.5,87,167,169
97,100,91,84,74,72
89,100,86,98,71,73
123,165,84,88,109,169
87,131,86,98,78,71
163.5,168,86,98,166,169
95,100,85,88,72,72
83.5,132.5,86.5,98,74.5,77
95,100,88,98,72,72
90,100,90.5,92,71,73
81,129,88,98,92,81
87,101,84,87,75,74
97,100,83,83,74,72
163.5,168,87,98,161,173.5
92,100,86,98,72,72
81,130.5,86,98,92,81.5
88.5,134.5,93,91,166,169
92,100,90,84,72,73
97,100,84,88,72.5,72
87,101,85,87,74,69.5
90,100,84,87,71,73
123,168,84,87,165.5,166.5
87,130.5,93,91,166,170
86.5,131.5,89,82.5,77,77
87,133,92,91,78,71
77,131,90,92,85,75
84,130,91,92,91,76
123,166.5,91,92,165.5,167
170,168,84,88,168,169
123,168.5,87,98,164,167.5
162,168.5,86,98,161.5,173.5
164,163,88,83,160,174
123,165,86,98,134,169
116.5,169,92,83,162.5,167.5
82,132,88,98,89,78
92,100,84,87,72.5,73
97,100,84,86,72,72
87,101,87,98,75,73
123,165,84,87.5,109,169
77,133,86,98,166,167.5
90,100,85,87,71,74
78,135,90,90,165.5,166.5
93,100,86,98,72,72
73,130,85,86.5,87,75
87,132,87,98,80,71
91,100,92,90,72.5,72
87,133,85,98,84,75
87,101,86,98,74,69
83,129,84,88,95,75
165,164,84,98,163,174
87,101,86,98,75,70
129,158,92,85,90,103
91,100,88,98,73,72
123,165,86,98,164,166.5
97,100,86,98,71.5,73
90,100,85,88,71,72
87,100,84,87,71,72.5
77.5,132,84.5,88,70,77
89,100,89,92,72,72
90,100,83.5,86,71,73
85,133,89.5,83,166.5,165
96,100,89,92,74,71
88.5,99,84,87,76,73
87,100,85,98,72,72.5
83,129,85,96,95,75
120.5,155,90.5,92,93,109
87,131.5,83,89,79.5,79
116.5,167,83.5,86,159.5,169
125.5,160,89,92,90,120
166,168,92,84,166.5,169.5
117,167,96,83,161,167
77,132,86,98,166,153
90,100,86,98,72,74
86,99,90,92,66,73
163.5,167,85,88,160.5,170
83,132.5,84.5,88,75,77
123.5,157.5,90,86,92,120
117,167,86,98,161,166
163,168,95,89,166.5,169
81,129,87,98,167,162
89,99,85,98,79.5,71
87.5,99,91,83,68,73
161,166.5,86,98,162,173
80,128.5,88,98,93,82
120,155,86.5,98,93,95
88,130,86,98,166,167
97,100,85,98,72,72
123,168,88,98,166,166.5
90,100,95,90,71,73
98,100,82,83,72,73
83,134,86,98,168,170.5
87,101,89.5,92,76,73
91,100,85,87,72,73
89,100,89,98,75,74
87,100,85,98,72,74
87,100,92,83,72,71
96,100,88,98,73,71
123,166.5,88,83,160.5,167
90,134,86,98,167,166
90,100,91,92,71,73.5
141,167,88,98,159.5,169.5
97,100,85,98,71.5,72
87,133,87,82,78,71
96,100,84,98,72.5,71
89,100,87,98,72,74
84,135,86,98,167.5,169.5
96,100,92,90,74,71
78,133,84,87,165.5,164
87,100,86,98,72,73.5
165,162,88,83,160,174
92,100,89,98,72,72.5
90,100,92,87,72,73
164,165.5,85,88,168,168
89,100,87,98,72,74
92,100,86,98,72,73
90,100,84,87.5,71,73
123,165.5,84,79,161.5,166.5
80.5,130,85,98,92.5,78.5
87,101,84.5,98,73,71
81,134,87,98,167,165
95,100,91,84,72,72
161.5,164,86,98,166.5,167
