1,-15,-20
2,4,69.5
-1,10,5
4,-1,74
2,-11,5
-7,-1,4
-7,26,2.5
0,45,-22
-1,45.5,-22
6,8,-5
6.5,-12,16
3,12,-11.5
-0.5,7,-10
-1,-1,4
1,27.5,1
4,-12,-6
1,8,4
8,12,-14
-2,27,-1
-5,9,-12
-6,8.5,-8
-2,25,2
2,28,-1
3,-14.5,-29
-1,-3,3
2,26.5,0
1.5,5,71
-0.5,6,-6
1,-10,4
-3,25.5,0
12.5,-12,-32
10,5,23
1,5,75.5
-2,-13,-33
-1,0,73
1,-8.5,26
-2,5,71
3,1,-6
2,-2,3
0,-1.5,71.5
-2,-10,-41
3,-2,5
-1,31,-2
0,-10,-40
-1.5,6,73
1,4,73.5
-1.5,-2,-10
10,3,73
-1.5,-4,61
2,-12,-34
-2,24.5,0
-3,-14,-33
1,-14,-29
5,40,-17
-3,-3.5,2
1,-11.5,18
2,5,75
-1,6,71
-1,-13,5
5,-15,-29
6,8,6
-1,-2.5,70
6,-3,4
4.5,-3.5,-3
6,-4,3
4.5,-4,30.5
0,-3,3
2,-3,4
2,-4,-7
2,-13,-29
-1,-2,5
-1,27.5,0
1,-8.5,-17
-0.5,-12,13
2,55,-21.5
-4.5,40,-18
1,4,71
-1,7.5,-9
3,-11,-41
4.5,9.5,-10
6,5,-8.5
4,20.5,2
2.5,12.5,5
-7,11,4
1,5,-9
-6,6,-8
5,-1.5,72.5
0,-11,-41
0,11,-14
1,27,-0.5
3,7,72
-2,-1,3.5
-6.5,10.5,-12
-2,-12,11
1,11,71
6,5,93
-2,11.5,27
2.5,-13.5,-32.5
-2,-13,21
1.5,6,-6.5
0.5,-3,3
-1,-11.5,18
-0.5,26,2
4,11,3.5
8,12.5,3.5
6.5,9.5,-6.5
-3,-2,74
1,-1,3.5
3.5,31.5,7
-4,-3,4
3,8,42
0,-12,-20
-2.5,13.5,27
1.5,-13,-32
-0.5,0,72
10,4,71
0.5,8.5,-6.5
1,6,-6
0.5,-1.5,4
2.5,-3.5,3
3,-12,12
-0.5,3,69.5
0,-9,-29
2,10.5,-10
1,-1.5,3
-2,12.5,11
-2.5,22.5,-5
1,26.5,1
3.5,39.5,-23
-0.5,5,71
-2,13,-12
0,23,1
-0.5,7,72
-0.5,11,5
-0.5,13,67.5
5,-3,62.5
0,3.5,-4
-6,13,-10
-1,8.5,-9
2,21.5,2
0,-11,-34
-0.5,31,4
0,-10,-41
1,9,26.5
5.5,-12,-29
1.5,-3.5,-2
0.5,-10,-20.5
3,-3,-1
-5.5,4,70
13,41,-22
6,6.5,69
3,-1,71
-1,21.5,-1
0,-2,5
-6,4,74.5
5,27,-1.5
-1,-12,-32
-3,5,73.5
-2,-1,84.5
-1.5,23.5,0
-2,-11,-20.5
-3,11,1
2,-13,-33
3.5,-12,12
1,-11,4
-2,11,10
1,6,70
1.5,9,-7
2,43,-22
1,6,69
10.5,-10.5,-41
2,2,73.5
7,3,73
-5,-14,-33
0,4,72.5
-1,-12,5
0,-12,-36
1.5,0,73
-1,-10,4
3,11,-16
1,11,8
-0.5,32.5,4
-3,-12,18
1,7,73
-1,-3,3
4.5,30,-4.5
1.5,13.5,1
1,7,70
-3,32.5,-3
0,-10,-40
-4,8,72
-2,12.5,3
2,-13,-32
-1,-2.5,4
-0.5,-3,0
-6,5,72
-2,-13,19
-0.5,-2,76
2,11,-16
-1,5,72
-1,26,2
-1,14.5,-14
1,-10,0.5
-0.5,46,-22
11.5,-3,3
-3,-11,-18
6,0.5,-14
0,-2,3
-1,6.5,-8
-1,-10,2
-1,-3,4
-2,-13,-29
5,45,-21
-3,11,4.5
-1,4,72
5,8,-5.5
-0.5,24,0.5
-1,20,37
2,-2,71
-0.5,12,21
-4,-1,4
0,14,37.5
1,2,-7
2,0,4
1,9,-12
-8,-4,36
0,23.5,1
0.5,8.5,-4
-1.5,-1.5,69.5
0.5,-12,4
-2,14,29.5
-1,9,5
,-11,15
,-2.5,4.5
,-11,-37.5
,-9,-15
,5,69
,-12,5
,10,5
,26.5,1
,-12,16
,-11,-21
,-2,-1
,-14,-32
,-10,-40
,-11,-41
,23,0
,42,-22
,25,0.5
,13,24
,19.5,2
,42.5,-23
,-12,13
,12,66.5
,24,0.5
,1,72.5
,5,70
,-4,-6
,11,-6.5
,0,72
,23,2.5
,9,5
,40,-17
,23,1.5
,-13.5,-32
,-10,-41
,-3,72
,36,-17
,12.5,-11.5
,5,71
