Subject ID,Group 1,Block 1,Block 2,Block 3,Block 4,Group 2,Block 5,Block 6,Block 7,Block 8,Group 3,Block 9,Block 10,Block 11,Block 12
1,1,450,675,600,525,2,1050,825,900,975,0,750,750,750,750
2,1,600,450,525,675,0,750,750,750,750,2,900,1050,975,825
3,2,975,825,900,1050,1,675,525,600,450,0,750,750,750,750
4,2,1050,975,825,900,0,750,750,750,750,1,675,450,600,525
5,1,450,675,525,600,0,750,750,750,750,2,825,900,1050,975
6,0,750,750,750,750,2,1050,825,900,975,1,600,675,525,450
7,1,675,525,600,450,0,750,750,750,750,2,825,975,900,1050
8,0,750,750,750,750,2,825,1050,975,900,1,450,600,525,675
9,1,525,600,450,675,0,750,750,750,750,2,825,900,975,1050
10,0,750,750,750,750,2,1050,900,975,825,1,600,450,675,525
11,0,750,750,750,750,2,825,1050,900,975,1,525,675,450,600
12,0,750,750,750,750,1,600,525,450,675,2,975,825,900,1050
13,1,450,675,600,525,2,975,900,1050,825,0,750,750,750,750
14,0,750,750,750,750,1,675,450,600,525,2,1050,975,900,825
15,0,750,750,750,750,2,825,900,1050,975,1,450,600,525,675
16,1,450,675,525,600,0,750,750,750,750,2,1050,900,975,825
17,1,675,450,525,600,2,1050,825,900,975,0,750,750,750,750
18,0,750,750,750,750,2,825,1050,975,900,1,600,675,525,450
19,2,900,825,975,1050,1,675,525,450,600,0,750,750,750,750
20,2,975,825,1050,900,1,675,600,450,525,0,750,750,750,750
21,1,675,450,525,600,2,900,1050,975,825,0,750,750,750,750
22,0,750,750,750,750,1,525,675,600,450,2,825,1050,975,900
23,2,975,1050,900,825,0,750,750,750,750,1,450,600,675,525
24,0,750,750,750,750,2,825,975,1050,900,1,675,525,600,450
25,1,450,675,525,600,0,750,750,750,750,2,1050,975,900,825
26,2,1050,825,900,975,1,675,600,525,450,0,750,750,750,750
27,0,750,750,750,750,2,825,900,1050,975,1,600,525,675,450
